Fish code,Species,Site,Date,Weight (g),Fork length (cm)
CH08,Chum,RK11,11/4/93,0.3,3.5
CH09,Chum,BP02-R,4/19/93,0.3,3.8
CH10,Chum,BP02-R,4/19/93,0.3,4.1
D01,Dolly varden,RK17,11/9/92,11.2,9.6
D02,Dolly varden,RK17,11/9/92,1.2,5.2
D03,Dolly varden,RK13,11/12/92,2.9,6.6
D04,Dolly varden,RK13,11/12/92,6.4,8.1
D05,Dolly varden,RT16,11/17/92,2.2,6.2
D06,Dolly varden,RT16,11/17/92,1.9,6.6
D07,Dolly varden,RK17,11/11/92,1.2,4.9
D08,Dolly varden,RK06,11/9/92,18.3,11.8
D09,Dolly varden,RK06,11/9/92,12.3,10.2
D10,Dolly varden,BA,8/7/92,7.4,8.5
D100,Dolly,RK09,10/22/93,4.8,8.2
D11,Dolly varden,BA,8/7/92,4.4,7.8
D12,Dolly varden,BA,8/7/92,9.6,9.7
D13,Dolly varden,RK11,6/21/92,7,9.4
D14,Dolly varden,RK11,6/21/92,12.7,10.6
D15,Dolly varden,RK11,6/21/92,2.4,6.5
D16,Dolly varden,RK05,6/12/92,16.5,11.6
D17,Dolly varden,RK17,6/29/92,6.6,8.7
D18,Dolly varden,RK17,6/29/92,7.7,9.3
D19,Dolly varden,RK17,6/29/92,3.3,7.5
D20,Dolly varden,RK16,6/21/92,8.6,9.6
D21,Dolly varden,RK16,6/21/92,6.8,8.6
D22,Dolly varden,RK16,6/21/92,1.4,5.6
D23,Dolly varden,RK16,6/21/92,2,6.1
D24,Dolly varden,RT03,6/23/92,7.5,8.9
D25,Dolly varden,RT03,6/23/92,9.3,9.7
D26,Dolly varden,RT03,6/23/92,21,12.3
D27,Dolly varden,RT12,7/1/92,14.6,11.4
D28,Dolly varden,RT12,7/1/92,11.2,10.8
D29,Dolly varden,RT12,7/1/92,4.7,7.9
D30,Dolly varden,RT12,7/1/92,3,7
D31,Dolly varden,RT02,6/18/92,6.6,8.9
D32,Dolly varden,RP02,4/7/93,5.2,8.4
D33,Dolly varden,RP02,4/7/93,1.6,5.8
D34,Dolly varden,RP02,4/7/93,19.9,13.1
D35,Dolly varden,RP02,4/7/93,13.2,11.1
D36,Dolly varden,BP02,3/30/93,6.7,9.2
D37,Dolly varden,BP02,3/30/93,6.2,8.6
D38,Dolly varden,RW04,6/12/93,2.6,6.8
D39,Dolly varden,RW04,6/12/93,9.9,10.2
D40,Dolly varden,RW04,6/12/93,32.7,15.5
D41,Dolly varden,RT19,6/17/93,7.9,9.6
D42,Dolly varden,RT19,6/17/93,9.6,10.3
D43,Dolly varden,RK09,6/27/93,21.9,13.5
D44,Dolly varden,RK09,6/27/93,13.6,12
D46,Dolly varden,RK09,6/27/93,7.3,8.9
D47,Dolly varden,RK09,6/27/93,5.7,9.2
D48,Dolly varden,RK09,6/28/93,6.4,9.1
D49,Dolly varden,RK09,7/8/93,69.3,18
D50,Dolly varden,RK09,7/8/93,52.7,16.9
D51,Dolly varden,RK09,6/29/93,3.5,6.9
D52,Dolly varden,RK09,6/29/93,4.7,7.9
D53,Dolly varden,RK07,5/19/93,4.7,9.1
D54,Dolly varden,RK07,5/19/93,1.8,7.5
D55,Dolly varden,RP02,5/27/93,0.8,5.4
D56,Dolly varden,RP02,5/25/93,6.1,8.8
D57,Dolly varden,RP02,5/25/93,4.1,8.2
D58,Dolly varden,RK03,7/6/93,30.3,15.2
D59,Dolly varden,RT03,5/19/93,9.3,11.1
D60,Dolly varden,RP06BP,5/27/93,9.3,9.7
D61,Dolly varden,RP06BP,5/27/93,2.9,7.2
D62,Dolly varden,RP06BP,5/27/93,3.1,7.3
D63,Dolly varden,BP01BP,5/15/93,12.2,11.3
D64,Dolly varden,BP01BP,5/15/93,9.9,11.2
D65,Dolly varden,BP01BP,5/15/93,8,10.3
D66,Dolly varden,BP01BP,5/15/93,3.6,8
D67,Dolly varden,RT03,5/20/93,12.1,11.6
D68,Dolly varden,RP06BP,5/28/93,6.7,8.9
D69,Dolly varden,RT02R,5/16/93,18.9,13.8
D70,Dolly varden,RT02R,5/16/93,12.7,12.2
D71,Dolly varden,RP06BP,11/12/93,7.6,9.3
D72,Dolly varden,RP06BP,11/12/93,1,4.4
D73,Dolly varden,RP06BP,11/12/93,1.2,5.1
D74,Dolly varden,RP06BP,11/12/93,9.3,9.9
D75,Dolly varden,RP06R,11/14/93,9.3,9.5
D76,Dolly varden,RP06R,11/14/93,13,10.3
D77,Dolly varden,RK14,11/6/93,1.2,5.2
D78,Dolly varden,RK14,11/6/93,1.3,5.3
