Fish code,del13C,Std. error,del15N,Std. error
D34,-23.61,0.11,12.9,0.04
D35,-23.22,0.04,12.64,0.09
D36,-25.96,0.01,9.77,0.15
D37,-27.33,0.04,9.61,0.01
D38,-25.81,0.11,9.5,0.14
D39,-22.42,0.12,12.77,0.12
D40,-21.93,0.02,12.75,0.01
D41,-22.62,0.13,14.25,0.04
D42,-22.73,0.11,14.42,0.15
D43,-20.39,0.02,12.46,0.11
D44,-23.97,0.04,9.31,0.04
D46,-27.23,0.07,9.72,0.09
D47,-28.34,0.16,11.21,0.18
D48,-25.2,0.03,8.54,0.06
D49,-19.34,0.06,12.97,0.17
D50,-18.81,0.08,13.25,0.04
D51,-25.68,0.13,10.39,0.04
D52,-31.14,0.15,9.13,0.04
D53,-26.14,0.09,9.64,0.1
D54,-22.8,0.02,13.71,0.02
D55,-26.58,0.02,11.39,0.16
D56,-24.27,0.04,10.8,0.05
D57,-21.97,0.07,13.51,0.04
D58,-18.55,0.04,12.65,0.09
D59,-25.24,0.08,12.69,0.06
D60,-22.67,0.17,13.56,0.03
D61,-25.87,0.04,10.54,0.03
D62,-25.33,0.04,12.01,0.05
D63,-26.35,0.05,10.63,0.1
D64,-25.96,0.01,11.52,0.16
D65,-25.64,0,10.64,0.12
D66,-26.18,0.01,9.91,0.02
D67,-28.12,0.05,11.32,0.06
D68,-23.18,0.03,13.18,0.13
D69,-21.85,0.07,14.13,0.05
D70,-23.1,0.13,12.24,0.07
D71,-25.16,0.04,10.87,0.11
D72,-28.02,0.03,8.52,0.05
D73,-26.72,0.01,9.16,0.01
D74,-23.62,0.06,11.81,0.04
D75,-24.5,0.03,12.41,0.09
D76,-24.45,0.02,11.31,0.02
D77,-28.84,0.05,11.26,0
D79,-22.84,0.11,13.73,0.15
D80,-24.97,0.09,12.1,0.11
D81,-29.35,0.03,12.17,0.04
D82,-38.12,0.13,7.01,0.05
D83,-26.51,0.06,8.6,0.05
D84,-24.49,0.12,12.33,0.01
D85,-23.65,0.1,12.14,0
D86,-24.55,0.11,12.85,0.04
D87,-27.79,0.01,9.17,0.07
D88,-25.58,0.09,8.21,0.04
D89,-23.12,0.01,13.55,0.04
D90,-21.7,0.06,14.25,0.04
D91,-25.8,0.06,10.09,0.05
D92,-27.4,0.05,8.2,0.08
D93,-23.49,0.09,12.25,0.02
D94,-24.91,0.03,7.95,0.09
D95,-24.41,0.02,11,0.01
D96,-25.33,0.03,7.09,0
D97,-27.92,0.01,9.49,0.09
D98,-27.8,0.01,12.15,0.04
D99,-22.23,0.13,14.4,0.04
P01,-21.83,0.06,12.9,0.13
P02,-22.24,0.06,12.59,0.11
P03,-22.21,0.03,12.49,0.07
P04,-20.72,0.01,12.53,0.02
P05,-21.52,0.02,12.42,0.1
P06,-22.3,0.01,13.84,0.11
P07,-21.67,0.01,13.94,0.01
P08,-23.23,0.03,12.03,0.04
P09,-22.99,0.04,12.7,0.11
P10,-22.55,0.06,12.48,0.06
P11,-22.73,0,12.09,0.03
P12,-23.47,0.01,13.77,0.01
P13,-22.16,0.07,13.41,0
P14,-22.26,0.01,13.95,0.07
P15,-21.81,0.05,13.4,0
S01,-22.72,0,12.25,0.02
S02,-24.51,0,10.75,0.03
S03,-22.6,0.11,13.02,0.09
S04,-24.79,0.06,11.65,11.91
S05,-23.78,0.12,12.61,0.13
S06,-22.29,0.04,12.61,0.06
S07,-23.46,0.16,12.03,0.1
S08,-23.46,0.09,11.79,0.01
S09,-21.4,0.18,12.81,0.05
S10,-22.82,0.09,13.45,0.01
S11,-21.4,0.02,14.01,0.04
S12,-24.94,0.09,12.23,0.1
S13,-22.81,0.04,11.55,0.07
S14,-23.49,0.12,13.03,0.16
S15,-24.3,0.12,12.64,0.04
S16,-24.45,0.11,12.73,0.02
S17,-25.15,0.14,10.76,0.11
S18,-22.74,0.02,13.85,0.07
S19,-22.61,0.09,13.17,0.14
S20,-24.23,0.03,12.49,0.13
S21,-22.79,0.13,11.11,0.11
S22,-23.25,0.06,10.31,0.11
S23,-24.45,0,9.61,0.1
S24,-23.55,0.06,11.99,0.09
S25,-23.18,0.06,11.68,0.08
S26,-23.29,0.13,13.6,0.12
S27,-22.15,0.09,13.84,0.08
S28,-22.75,0.01,12.45,0.13
S29,-25.17,0.14,10.48,0.04
S30,-27.4,0.18,11.01,0.11
S31,-26.2,0.11,11.82,0.16
S32,-26.13,0.05,12.05,0.04
S33,-24.18,0.16,12.02,0.01
S34,-24,0.01,13.2,0.01
S35,-23.83,0.1,13.12,0.01
S36,-28.34,0.02,11.85,0.09
S37,-22.91,0.07,13.74,0.04
S38,-22.51,0.04,13.15,0.06
S39,-22.76,0.04,12.52,0.13
S40,-22.97,0.08,11.94,0.13
S41,-26.88,0.16,9.78,0.09
S42,-22.62,0.01,13.01,0.1
S43,-23.5,0.07,12.58,0.14
S44,-23.66,0.09,12.71,0.11
S45,-25.76,0.01,13.26,0.06
S46,-24.83,0.1,12.61,0.16
S47,-25.98,0.01,8.73,0.11
S48,-23.98,0.09,13.33,0.16
S49,-26.1,0.13,10.74,0.15
S50,-22.74,0.11,13.24,0.11
S52,-24.75,0.07,12.99,0.09
S53,-23.26,0.04,13.08,0.16
S54,-25.82,0.01,10.31,0.02
S55,-27.31,0.05,10.22,0.13
S56,-23.17,0.15,13.94,0.04
S57,-24.75,0.09,11.67,0.07
S58,-25.4,0.01,9.99,0.06
Sh01,-22.39,0.04,14.3,0.16
SH02,-22.93,0.01,11.09,0.05
SH03,-28.86,0.04,10.67,0.09
SH04,-24.36,0.05,13.45,0.07
SH05,-28.67,0.1,11.37,0.07
SH06,-27.88,0.02,9.18,0.07
SH07,-23.04,0.15,11.93,0.11
SH08,-25.39,0.02,12.5,0.18
SH09,-23.71,0.04,13.31,0.12
ST01,-29.1,0.04,9.4,0.04
ST02,-29.63,0.04,9.47,0.01
ST03,-29.06,0.13,9.52,0.08
ST04,-29.99,0.12,10.26,0.11
ST05,-27.49,0.03,11.6,0.09
ST06,-29.37,0.06,10.1,0.01
ST07,-27.83,0.04,11.12,0.03
ST08,-30.3,0.04,9.55,0.05
ST09,-29.13,0.02,9.55,0.09
ST10,-30.87,0.01,9.72,0.08
ST11,-32.37,0.07,8.04,0.13
ST12,-28.76,0.07,8.64,0.1
ST13,-28.34,0.01,10.44,0.16
ST14,-27.15,0.06,9.79,0.13
ST15,-28.55,0.06,10.59,0.04
ST16,-26.9,0.02,10.23,0.16
ST17,-27.67,0.04,10.73,0.04
ST18,-29.61,0.02,10.74,0.01
ST19,-30.03,0.03,9.53,0.01
ST20,-29.18,0.01,8.95,0.1
ST21,-29.84,0.04,10.58,0.12
ST22,-25.43,0.05,11.72,0.04
ST23,-29.5,0.05,10.21,0.06
ST24,-29.74,0.13,9.88,0.09
ST25,-31.22,0.17,7.96,0.01
ST26,-31.78,0.13,9.77,0.16
ST28,-29.06,0.04,9.2,0.1
ST29,-31.87,0.08,9.33,0.01
ST30,-27.43,0.01,12.73,0.06
ST31,-28.56,0.06,8.93,0.16
ST32,-31.44,0.12,9.49,0.05
ST33,-25.76,0.04,13.98,0.02
ST34,-28.93,0.04,12.14,0.05
