gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001172285|GLRA4,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291418|KDM6A,0,208,282,247,0,0,0,0,0,366,194,360
NM_001170756|FAM122B,261,233,193,672,203,355,247,894,247,137,234,744
NM_032969|PCDH11X,0,0,0,0,0,0,0,0,0,0,0,0
NM_001195522|MPC1L,2,0,0,0,0,0,0,0,0,0,0,0
NM_013453|SPANXA1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001099685|RHOXF2B,0,0,0,0,0,0,0,0,0,0,0,0
NM_152695|ZNF449,182,218,124,100,115,57,196,135,196,90,174,115
NM_001307979|PRICKLE3,432,0,0,104,101,286,220,123,220,0,185,148
NM_001032396|PJA1,626,494,709,334,473,245,487,742,487,483,617,587
NM_001039091|PRPS2,463,778,2089,424,761,315,507,667,507,1155,488,370
NM_153280|UBA1,9675,10759,12643,7618,7284,11256,10801,6577,10801,5230,8235,6762
NM_001032289|SLC35A2,310,144,177,93,305,122,255,155,255,164,257,90
NM_012310|KIF4A,3754,3373,4026,1373,1985,1585,2318,2761,2318,2116,2606,2875
NM_175868|MAGEA6,0,0,0,0,0,0,0,0,0,0,3,0
NM_001127899|CLCN5,531,548,450,250,305,173,782,278,782,18,291,282
NM_002294|LAMP2,1406,841,1048,822,864,590,882,857,882,526,1274,800
NM_002641|PIGA,625,1047,547,400,654,248,1135,669,1135,430,526,611
NM_177947|ARMCX3,1889,2046,1812,1121,1367,586,1916,1928,1916,1225,2584,1649
NR_036258|MIR4328,0,0,0,0,0,0,0,0,0,0,0,0
NM_001178107|ZNF185,0,0,0,0,0,0,0,0,0,0,0,0
NM_001017930|DCAF8L1,0,0,0,0,0,0,0,0,0,0,0,0
NR_033715|VAMP7,60,72,109,144,0,0,94,197,94,82,167,63
NM_001037811|HSD17B10,297,200,329,354,154,62,421,153,421,118,277,238
NR_003711|SNORA11D,0,2,0,0,0,0,0,0,0,0,0,0
NM_001164619|GPC3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001304548|CFAP47,0,0,0,0,0,0,0,0,0,0,0,0
NR_033676|NUP62CL,0,167,0,41,49,0,0,39,0,47,0,71
NM_020730|DLG3,0,4,11,0,8,0,9,5,9,2,0,9
NM_021109|TMSB4X,450711,440436,606586,238611,366155,217975,471912,304879,471912,274591,320025,278464
NM_001142430|MORF4L2,34,89,0,45,0,0,25,0,25,23,0,0
NR_036259|MIR1184-2,0,0,1,0,0,0,0,0,0,0,1,0
NM_001142427|MORF4L2,130,69,70,66,57,72,167,125,167,36,145,59
NM_030639|BHLHB9,0,0,0,0,0,0,72,0,72,0,0,0
NM_016562|TLR7,5556,3164,3999,2377,4125,2771,6410,5524,6410,4224,3945,2847
NR_106917|MIR6858,0,1,1,3,2,2,1,0,1,2,1,1
NM_001099921|MAGEB16,0,0,0,0,0,0,0,0,0,0,0,0
NM_173495|PTCHD1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001399|EDA,3,0,3,0,0,0,2,0,2,0,0,2
NM_001142463|DKC1,209,274,623,440,211,0,938,1943,938,0,252,696
NM_019056|NDUFB11,1643,1025,1529,1614,1111,575,1526,1201,1526,834,1376,1314
NM_152224|PPEF1,0,0,0,0,0,0,0,0,0,0,0,0
NM_207339|PAGE2,0,0,0,6,0,0,0,0,0,0,0,0
NR_045044|ZC4H2,1,1,0,2,2,172,9,3,9,4,5,2
NM_021123|GAGE7,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170752|SRPX,0,0,0,0,0,0,0,0,0,0,0,0
NR_002308|UQCRBP1,227,223,288,60,240,82,222,152,222,114,195,238
NM_001193279|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_016379|VCX3A,0,0,0,0,0,0,0,0,0,0,0,0
NM_001257240|ALG13,83,338,358,178,74,114,97,354,97,239,340,99
NM_001167947|TIMM17B,300,350,443,485,245,86,304,252,304,158,303,331
NM_004089|TSC22D3,2110,4165,4422,1925,2284,1051,3260,3088,3260,3358,6159,4190
