wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00000497,1511,105,62
WBGene00000498,430,344,360
WBGene00000499,23,34,30
WBGene00000500,325,430,474
WBGene00000501,198,336,400
WBGene00000502,855,528,616
WBGene00000503,628,1437,2006
WBGene00000506,169,182,235
WBGene00000507,363,371,428
WBGene00000508,1001,1380,1483
WBGene00000509,663,1402,2033
WBGene00000510,269,251,268
WBGene00000511,135,184,177
WBGene00000512,231,426,487
WBGene00000513,54,52,51
WBGene00000514,403,369,376
WBGene00000515,375,399,426
WBGene00000516,296,220,284
WBGene00000517,111,257,368
WBGene00000518,209,355,429
WBGene00000519,516,736,1011
WBGene00000520,441,569,600
WBGene00000521,677,14,3
WBGene00000522,184,190,260
WBGene00000523,134,197,201
WBGene00000524,118,111,143
WBGene00000525,4,1,0
WBGene00000526,206,257,291
WBGene00000527,536,628,626
WBGene00000528,1081,2482,3170
WBGene00000529,201,305,321
WBGene00000530,139,321,345
WBGene00000531,116,131,145
WBGene00000532,1183,1244,1490
WBGene00000533,364,498,651
WBGene00000534,1276,2590,3171
WBGene00000535,252,2211,2686
WBGene00000536,356,324,351
WBGene00000537,230,320,304
WBGene00000539,129,42,35
WBGene00000540,248,305,344
WBGene00000541,121,99,87
WBGene00000542,3076,6070,7644
WBGene00000543,405,376,437
WBGene00000544,0,7,3
WBGene00000545,883,3585,4799
WBGene00000546,0,6,16
WBGene00000547,2026,2837,3428
WBGene00000548,1659,2222,2392
WBGene00000549,2029,2534,2716
WBGene00000550,3431,2822,3226
WBGene00000551,1,59,158
WBGene00000552,8569,8326,8927
WBGene00000553,468,556,578
WBGene00000554,936,1063,1085
WBGene00000555,0,0,0
WBGene00000556,35,306,293
WBGene00000557,734,1110,1073
WBGene00000558,161,699,488
WBGene00000559,0,0,0
WBGene00000560,0,4,8
WBGene00000561,54,13,12
WBGene00000562,70,156,166
WBGene00000563,4,20,12
WBGene00000564,742,771,788
WBGene00000565,749,1406,2101
WBGene00000566,1282,1209,1259
WBGene00000567,3357,3051,3373
WBGene00000583,81,84,110
WBGene00000584,50,58,66
WBGene00000585,669,604,576
WBGene00000591,582,608,783
WBGene00000592,62,74,57
WBGene00000593,0,1,0
WBGene00000594,490,1178,1446
WBGene00000596,3,0,1
WBGene00000597,2,8,4
WBGene00000598,0,0,2
WBGene00000599,2162,2824,4499
WBGene00000601,2,23,20
WBGene00000602,0,24,25
WBGene00000603,147,92,73
WBGene00000606,32110,731,867
WBGene00000608,1,0,0
WBGene00000609,2,0,0
WBGene00000610,55,9,5
WBGene00000611,1039,291,364
WBGene00000612,3,18,18
WBGene00000613,3,2,1
WBGene00000614,0,1,0
WBGene00000615,5,3,4
WBGene00000616,106,74,137
WBGene00000617,0,0,1
WBGene00000618,14097,337,406
WBGene00000620,0,0,0
WBGene00000621,0,0,0
WBGene00000622,9,4,8
WBGene00000623,1546,167,56
WBGene00000624,288,34,10
WBGene00000625,250,62,66
WBGene00000626,1,4,1
WBGene00000627,0,2,0
WBGene00000628,0,0,0
WBGene00000629,1,2,0
WBGene00000630,45,25,14
WBGene00000631,59,23,27
WBGene00000632,0,0,0
WBGene00000633,32,8,4
WBGene00000634,21,3,9
WBGene00000636,0,1,1
WBGene00000637,57,5,6
WBGene00000638,4,6,10
WBGene00000639,0,0,0
WBGene00000640,1,5,0
WBGene00000641,463,33,60
WBGene00000642,0,2,0
WBGene00000644,24,0,12
WBGene00000645,35,20,12
WBGene00000646,0,0,1
